Owner,Opp,Type,Season,Week,PF,PA,tPercent,wPercent,W/L,season_week,helper
Ty,Matt,Reg,2020,1,155.3,152.6,0.882,1,1,2020_1,155.3
Matt,Ty,Reg,2020,1,152.6,155.3,0.859,0.857,0,2020_1,152.6
Shane,KJ,Reg,2020,1,134.4,133.2,0.66,0.571,1,2020_1,134.4
KJ,Shane,Reg,2020,1,133.2,134.4,0.647,0.143,0,2020_1,133.2
Marc,Zach,Reg,2020,1,133.7,133.3,0.657,0.429,1,2020_1,133.7
Darb,Austin,Reg,2020,1,99.6,142.9,0.171,0,0,2020_1,99.6
Zach,Marc,Reg,2020,1,133.3,133.7,0.65,0.286,0,2020_1,133.3
Austin,Darb,Reg,2020,1,142.9,99.6,0.77,0.714,1,2020_1,142.9
Ty,Zach,Reg,2020,2,146.1,164.3,0.808,0.857,0,2020_2,146.1
Matt,Marc,Reg,2020,2,137.6,124,0.693,0.429,1,2020_2,137.6
Shane,Austin,Reg,2020,2,137.8,131.7,0.696,0.571,1,2020_2,137.8
KJ,Darb,Reg,2020,2,140.1,135.3,0.731,0.714,1,2020_2,140.1
Marc,Matt,Reg,2020,2,124,137.6,0.496,0,0,2020_2,124
Austin,Shane,Reg,2020,2,131.7,137.8,0.621,0.143,0,2020_2,131.7
Darb,KJ,Reg,2020,2,135.3,140.1,0.67,0.286,0,2020_2,135.3
Zach,Ty,Reg,2020,2,164.3,146.1,0.941,1,1,2020_2,164.3
Ty,Marc,Reg,2020,3,139.6,119.8,0.719,0.286,1,2020_3,139.6
Marc,Ty,Reg,2020,3,119.8,139.6,0.427,0.143,0,2020_3,119.8
Matt,Zach,Reg,2020,3,149.8,112.6,0.839,0.714,1,2020_3,149.8
Zach,Matt,Reg,2020,3,112.6,149.8,0.32,0,0,2020_3,112.6
Austin,KJ,Reg,2020,3,140.5,142.1,0.744,0.429,0,2020_3,140.5
KJ,Austin,Reg,2020,3,142.1,140.5,0.762,0.571,1,2020_3,142.1
Darb,Shane,Reg,2020,3,170.2,172.6,0.969,0.857,0,2020_3,170.2
Shane,Darb,Reg,2020,3,172.6,170.2,0.98,1,1,2020_3,172.6
Ty,Darb,Reg,2020,4,155.4,116.1,0.887,1,1,2020_4,155.4
Darb,Ty,Reg,2020,4,116.1,155.4,0.394,0.143,0,2020_4,116.1
Austin,Matt,Reg,2020,4,76,143.6,0.02,0,0,2020_4,76
Matt,Austin,Reg,2020,4,143.6,76,0.775,0.571,1,2020_4,143.6
Shane,Marc,Reg,2020,4,148.3,140.4,0.821,0.857,1,2020_4,148.3
Marc,Shane,Reg,2020,4,140.4,148.3,0.742,0.429,0,2020_4,140.4
KJ,Zach,Reg,2020,4,130.6,144.1,0.604,0.286,0,2020_4,130.6
Zach,KJ,Reg,2020,4,144.1,130.6,0.783,0.714,1,2020_4,144.1
Ty,Austin,Reg,2020,5,144.8,150.1,0.793,0.857,0,2020_5,144.8
Austin,Ty,Reg,2020,5,150.1,144.8,0.844,1,1,2020_5,150.1
Marc,Darb,Reg,2020,5,103,112.9,0.21,0,0,2020_5,103
Darb,Marc,Reg,2020,5,112.9,103,0.327,0.286,1,2020_5,112.9
Zach,Shane,Reg,2020,5,108.5,127.3,0.279,0.143,0,2020_5,108.5
Shane,Zach,Reg,2020,5,127.3,108.5,0.542,0.571,1,2020_5,127.3
Matt,KJ,Reg,2020,5,126.3,134.8,0.529,0.429,0,2020_5,126.3
KJ,Matt,Reg,2020,5,134.8,126.3,0.668,0.714,1,2020_5,134.8
Ty,KJ,Reg,2020,6,128.1,87.4,0.56,0.714,1,2020_6,128.1
KJ,Ty,Reg,2020,6,87.4,128.1,0.069,0.143,0,2020_6,87.4
Austin,Marc,Reg,2020,6,130.2,124.9,0.596,0.857,1,2020_6,130.2
Marc,Austin,Reg,2020,6,124.9,130.2,0.512,0.571,0,2020_6,124.9
Darb,Zach,Reg,2020,6,87.3,108,0.064,0,0,2020_6,87.3
Zach,Darb,Reg,2020,6,108,87.3,0.266,0.429,1,2020_6,108
Shane,Matt,Reg,2020,6,95.5,141.5,0.128,0.286,0,2020_6,95.5
Matt,Shane,Reg,2020,6,141.5,95.5,0.752,1,1,2020_6,141.5
Ty,Shane,Reg,2020,7,155.1,108.5,0.88,0.857,1,2020_7,155.1
Shane,Ty,Reg,2020,7,108.5,155.1,0.274,0.429,0,2020_7,108.5
Zach,Austin,Reg,2020,7,99.8,105.5,0.179,0,0,2020_7,99.8
Austin,Zach,Reg,2020,7,105.5,99.8,0.24,0.286,1,2020_7,105.5
Matt,Darb,Reg,2020,7,156.8,136.3,0.9,1,1,2020_7,156.8
Darb,Matt,Reg,2020,7,136.3,156.8,0.678,0.714,0,2020_7,136.3
Marc,KJ,Reg,2020,7,115.6,104.2,0.379,0.571,1,2020_7,115.6
KJ,Marc,Reg,2020,7,104.2,115.6,0.223,0.143,0,2020_7,104.2
Ty,Matt,Reg,2020,8,163.8,83,0.931,1,1,2020_8,163.8
Matt,Ty,Reg,2020,8,83,163.8,0.046,0,0,2020_8,83
Zach,Marc,Reg,2020,8,117.6,115.2,0.407,0.571,1,2020_8,117.6
Marc,Zach,Reg,2020,8,115.2,117.6,0.366,0.429,0,2020_8,115.2
Darb,Austin,Reg,2020,8,120.1,92.5,0.43,0.714,1,2020_8,120.1
Austin,Darb,Reg,2020,8,92.5,120.1,0.1,0.143,0,2020_8,92.5
KJ,Shane,Reg,2020,8,104.2,156.1,0.225,0.286,0,2020_8,104.2
Shane,KJ,Reg,2020,8,156.1,104.2,0.893,0.857,1,2020_8,156.1
Ty,Zach,Reg,2020,9,153.2,139.6,0.867,1,1,2020_9,153.2
Zach,Ty,Reg,2020,9,139.6,153.2,0.719,0.857,0,2020_9,139.6
Marc,Matt,Reg,2020,9,105.3,125.1,0.238,0.286,0,2020_9,105.3
Matt,Marc,Reg,2020,9,125.1,105.3,0.514,0.429,1,2020_9,125.1
Austin,KJ,Reg,2020,9,96.5,90.7,0.141,0.143,1,2020_9,96.5
KJ,Austin,Reg,2020,9,90.7,96.5,0.087,0,0,2020_9,90.7
Darb,Shane,Reg,2020,9,128.5,132.1,0.565,0.571,0,2020_9,128.5
Shane,Darb,Reg,2020,9,132.1,128.5,0.629,0.714,1,2020_9,132.1
Marc,Ty,Reg,2020,10,100.9,98,0.194,0.286,1,2020_10,100.9
Ty,Marc,Reg,2020,10,98,100.9,0.153,0.143,0,2020_10,98
Zach,Matt,Reg,2020,10,150.9,129,0.849,1,1,2020_10,150.9
Matt,Zach,Reg,2020,10,129,150.9,0.573,0.857,0,2020_10,129
Darb,Austin,Reg,2020,10,114,92.7,0.343,0.429,1,2020_10,114
Austin,Darb,Reg,2020,10,92.7,114,0.102,0,0,2020_10,92.7
KJ,Shane,Reg,2020,10,124.5,126.9,0.504,0.571,0,2020_10,124.5
Shane,KJ,Reg,2020,10,126.9,124.5,0.535,0.714,1,2020_10,126.9
Ty,Austin,Reg,2020,11,103.7,144.1,0.22,0.143,0,2020_11,103.7
Austin,Ty,Reg,2020,11,144.1,103.7,0.783,0.857,1,2020_11,144.1
Matt,Shane,Reg,2020,11,100.8,117.3,0.189,0,0,2020_11,100.8
Shane,Matt,Reg,2020,11,117.3,100.8,0.399,0.429,1,2020_11,117.3
Zach,KJ,Reg,2020,11,120.1,144.9,0.432,0.571,0,2020_11,120.1
KJ,Zach,Reg,2020,11,144.9,120.1,0.795,1,1,2020_11,144.9
Marc,Darb,Reg,2020,11,115.3,140.2,0.373,0.286,0,2020_11,115.3
Darb,Marc,Reg,2020,11,140.2,115.3,0.734,0.714,1,2020_11,140.2
Darb,Ty,Reg,2020,12,159.3,123.8,0.916,0.857,1,2020_12,159.3
Ty,Darb,Reg,2020,12,123.8,159.3,0.488,0.429,0,2020_12,123.8
Austin,Matt,Reg,2020,12,126.5,103.3,0.532,0.714,1,2020_12,126.5
Matt,Austin,Reg,2020,12,103.3,126.5,0.212,0.143,0,2020_12,103.3
Shane,Zach,Reg,2020,12,159.4,124.8,0.918,1,1,2020_12,159.4
Zach,Shane,Reg,2020,12,124.8,159.4,0.509,0.571,0,2020_12,124.8
KJ,Marc,Reg,2020,12,94.6,109.3,0.12,0,0,2020_12,94.6
Marc,KJ,Reg,2020,12,109.3,94.6,0.289,0.286,1,2020_12,109.3
Ty,KJ,Reg,2020,13,184.5,114,0.995,1,1,2020_13,184.5
KJ,Ty,Reg,2020,13,114,184.5,0.343,0.286,0,2020_13,114
Zach,Austin,Reg,2020,13,127.8,116.8,0.555,0.714,1,2020_13,127.8
Austin,Zach,Reg,2020,13,116.8,127.8,0.396,0.571,0,2020_13,116.8
Marc,Shane,Reg,2020,13,75.3,157.5,0.015,0,0,2020_13,75.3
Shane,Marc,Reg,2020,13,157.5,75.3,0.903,0.857,1,2020_13,157.5
Matt,Darb,Reg,2020,13,91.1,114.5,0.09,0.143,0,2020_13,91.1
Darb,Matt,Reg,2020,13,114.5,91.1,0.355,0.429,1,2020_13,114.5
Shane,Ty,Reg,2020,14,145.7,152.9,0.803,0.571,0,2020_14,145.7
Ty,Shane,Reg,2020,14,152.9,145.7,0.862,0.857,1,2020_14,152.9
Austin,Marc,Reg,2020,14,169.3,118.1,0.964,1,1,2020_14,169.3
Marc,Austin,Reg,2020,14,118.1,169.3,0.417,0.143,0,2020_14,118.1
KJ,Matt,Reg,2020,14,105.7,125.1,0.243,0,0,2020_14,105.7
Matt,KJ,Reg,2020,14,125.1,105.7,0.517,0.286,1,2020_14,125.1
Darb,Zach,Reg,2020,14,130,146,0.593,0.429,0,2020_14,130
Zach,Darb,Reg,2020,14,146,130,0.806,0.714,1,2020_14,146
